partner_A	partner_B	ligand_genes	receptor_genes	classification	directionality	id_cp_interaction
432	432	CDH3	CDH3	Adhesion by Cadherin	Adhesion-Adhesion	CPI-SS0DA0F5556
1346	1346	CDH5	CDH5	Adhesion by Cadherin	Adhesion-Adhesion	CPI-SS00C24ED50
662	662	CDH6	CDH6	Adhesion by Cadherin	Adhesion-Adhesion	CPI-SS0C53F7672
1035	1035	CDH7	CDH7	Adhesion by Cadherin	Adhesion-Adhesion	CPI-SS0BE3D537D
945	945	CADM1	CADM1	Adhesion by CADM	Adhesion-Adhesion	CPI-SS0889E281D
856	945	CADM3	CADM1	Adhesion by CADM	Adhesion-Adhesion	CPI-SS09C06644C
134	945	CRTAM	CADM1		Adhesion-Adhesion	CPI-SS0C9696AAA
945	989	CADM1	NECTIN3	Adhesion by CADM	Adhesion-Adhesion	CPI-SS0B990492C
856	989	CADM3	NECTIN3	Adhesion by CADM	Adhesion-Adhesion	CPI-SS00550260E
777	989	NECTIN1	NECTIN3	Adhesion by Nectin	Adhesion-Adhesion	CPI-SS0C5E9FBFB
891	989	NECTIN2	NECTIN3	Adhesion by Nectin	Adhesion-Adhesion	CPI-SS02FBD007E
856	871	CADM3	CADM4	Adhesion by CADM	Adhesion-Adhesion	CPI-SS02D18D12B
856	966	CADM3	EPB41L1	Adhesion by CADM	Adhesion-Adhesion	CPI-SS0B3829651
340	980	CEACAM1	CD209	Adhesion by CEAM	Adhesion-Adhesion	CPI-SS055B305F1
338	980	ICAM2	CD209	Adhesion by ICAM	Ligand-Receptor	CPI-SS0544D2759
522	980	ICAM3	CD209	Adhesion by ICAM	Ligand-Receptor	CPI-SS0A2949959
340	562	CEACAM1	CEACAM6	Adhesion by CEAM	Adhesion-Adhesion	CPI-SS0A2D7895C
250	562	CEACAM5	CEACAM6	Adhesion by CEAM	Adhesion-Adhesion	CPI-SS0322747C2
562	562	CEACAM6	CEACAM6	Adhesion by CEAM	Adhesion-Adhesion	CPI-SS001BF66E8
509	562	CEACAM8	CEACAM6	Adhesion by CEAM	Adhesion-Adhesion	CPI-SS08C411721
340	509	CEACAM1	CEACAM8	Adhesion by CEAM	Adhesion-Adhesion	CPI-SS0CCDBBBC0
340	373	CEACAM1	SELE	Adhesion by CEAM	Adhesion-Adhesion	CPI-SS0BDC04683
1002	373	PODXL2	SELE	Signaling by Podocalyxin-like protein	Ligand-Receptor	CPI-SS0B111D2F5
765	373	SELPLG	SELE	Signaling by Selectin	Ligand-Receptor	CPI-SS085C6A191
363	373	CD44	SELE		Ligand-Receptor	CPI-SS06F83AE58
250	361	CEACAM5	CD1D	Adhesion by CEAM	Adhesion-Adhesion	CPI-SS0AC66088D
250	196	CEACAM5	CD8A	Adhesion by CEAM	Adhesion-Adhesion	CPI-SS04B37190C
250	340	CEACAM5	CEACAM1	Adhesion by CEAM	Adhesion-Adhesion	CPI-SS0B537DD3F
716	1506	COL10A1	ITGA1_ITGB1	Adhesion by Collagen/Integrin	Ligand-Receptor	CPI-SC04FA882F7
322	1506	COL11A1	ITGA1_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0E53A238E
343	1506	COL11A2	ITGA1_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC071163509
930	1506	COL12A1	ITGA1_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0E83A4B71
810	1506	COL13A1	ITGA1_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0FCF853DB
720	1506	COL14A1	ITGA1_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0AB5FBF10
1347	1506	COL15A1	ITGA1_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC027893337
725	1506	COL16A1	ITGA1_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC06AD39F88
1042	1506	COL17A1	ITGA1_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0C841033A
1348	1506	COL18A1	ITGA1_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0C739EDCE
